     ;   Startup  ;   Setor  
   1  ;   Solinftec  ;   Agtech  
   2  ;   Descomplica  ;   Edtech  
   3  ;   Alura  ;   Edtech  
   4  ;   Órigo Energia  ;   Energytech  
   5  ;   Solfácil  ;   Energytech  
   6  ;   Cora  ;   Fintech  
   7  ;   Omie  ;   Fintech  
   8  ;   Pismo  ;   Fintech  
   9  ;   Open Co  ;   Fintech  
   10  ;   Neologica  ;   Fintech  
   11  ;   Flash  ;   Fintech  
   12  ;   Cerc  ;   Fintech  
   13  ;   Quod  ;   Fintech  
   14  ;   Will Bank  ;   Fintech  
   15  ;   Contabilizei  ;   Fintech  
   16  ;   Warren  ;   Fintech  
   17  ;   Stark Bank  ;   Fintech  
   18  ;   a55  ;   Fintech  
   19  ;   Nomad  ;   Fintech  
   20  ;   Conta Azul  ;   Fintech  
   21  ;   Agrolend  ;   Fintech  
   22  ;   Asaas  ;   Fintech  
   23  ;   Fazenda Futuro  ;   Foodtech  
   24  ;   Liv Up  ;   Foodtech  
   25  ;   Shopper  ;   Foodtech  
   26  ;   Alice  ;   Healthtech  
   27  ;   Dr. Consulta  ;   Healthtech  
   28  ;   3778  ;   Healthtech  
   29  ;   Conexa Saúde  ;   Healthtech  
   30  ;   Beep  ;   Healthtech  
   31  ;   Sólides  ;   HRTech  
   32  ;   Pipefy  ;   HRTech  
   33  ;   Gupy  ;   HRTech  
   34  ;   Tractian  ;   Indústria  
   35  ;   Córtex  ;   Martech  
   36  ;   Escale  ;   Martech  
   37  ;   Buser  ;   Mobilidade  
   38  ;   Kovi  ;   Mobilidade  
   39  ;   Tembici  ;   Mobilidade  
   40  ;   Motuu  ;   Mobilidade  
   41  ;   Petlove  ;   Pettech  
   42  ;   Ambar  ;   Real Estate  
   43  ;   Alias  ;   RegTech  
   44  ;   idwall  ;   RegTech  
   45  ;   Gringo  ;   RegTech  
   46  ;   Jusbrasil  ;   RegTech  
   47  ;   Evino  ;   Retailtech  
   48  ;   Take Blip  ;   Retailtech  
   49  ;   Inventa  ;   Retailtech  
   50   ;   Cobli   ;   Supply Chain   
